FID,obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,desert
18,19,Danaus plexippus,Insecta,Lepidoptera,2019,10,4,-116.10357,35.14179,0,HUMAN_OBSERVATION,Mojave
87,88,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,8,1,-116.171739,33.915355,0,HUMAN_OBSERVATION,Mojave
311,312,Empidonax traillii,Aves,Passeriformes,2018,9,10,-118.11818,34.79012,1,HUMAN_OBSERVATION,Mojave
321,322,Empidonax traillii,Aves,Passeriformes,2011,8,21,-116.07208,35.25687,1,HUMAN_OBSERVATION,Mojave
325,326,Riparia riparia,Aves,Passeriformes,2010,8,28,-118.20111,34.74216,1,HUMAN_OBSERVATION,Mojave
330,331,Empidonax traillii,Aves,Passeriformes,2017,9,27,-117.94547,35.1289,1,HUMAN_OBSERVATION,Mojave
337,338,Agelaius tricolor,Aves,Passeriformes,2013,11,3,-117.93377,34.704433,25,HUMAN_OBSERVATION,Mojave
344,345,Agelaius tricolor,Aves,Passeriformes,2013,12,20,-118.60891,34.897476,1,HUMAN_OBSERVATION,Mojave
364,365,Buteo swainsoni,Aves,Accipitriformes,2012,4,21,-118.010216,36.574165,1,HUMAN_OBSERVATION,Mojave
382,383,Empidonax traillii,Aves,Passeriformes,2018,8,26,-118.11818,34.79012,1,HUMAN_OBSERVATION,Mojave
389,390,Agelaius tricolor,Aves,Passeriformes,1978,10,1,-118.414085,34.82631,6,HUMAN_OBSERVATION,Mojave
397,398,Riparia riparia,Aves,Passeriformes,2013,9,2,-117.63834,35.67222,2,HUMAN_OBSERVATION,Mojave
402,403,Riparia riparia,Aves,Passeriformes,2013,8,7,-117.29282,35.010677,1,HUMAN_OBSERVATION,Mojave
405,406,Colaptes chrysoides,Aves,Piciformes,2017,4,15,-115.64413,35.413166,1,HUMAN_OBSERVATION,Mojave
454,455,Buteo swainsoni,Aves,Accipitriformes,2020,6,30,-118.29048,34.932526,2,HUMAN_OBSERVATION,Mojave
460,461,Riparia riparia,Aves,Passeriformes,2018,8,31,-117.994125,36.343857,1,HUMAN_OBSERVATION,Mojave
493,494,Empidonax traillii,Aves,Passeriformes,2003,9,16,-117.92819,35.312744,3,HUMAN_OBSERVATION,Mojave
498,499,Empidonax traillii,Aves,Passeriformes,2017,5,17,-118.05599,36.562325,1,HUMAN_OBSERVATION,Mojave
513,514,Agelaius tricolor,Aves,Passeriformes,2009,6,5,-118.22885,34.799213,60,HUMAN_OBSERVATION,Mojave
527,528,Empidonax traillii,Aves,Passeriformes,2008,9,17,-116.10432,35.142517,2,HUMAN_OBSERVATION,Mojave
534,535,Empidonax traillii,Aves,Passeriformes,2013,8,3,-118.11818,34.79012,1,HUMAN_OBSERVATION,Mojave
543,544,Empidonax traillii,Aves,Passeriformes,2016,6,1,-117.758,35.219,10,HUMAN_OBSERVATION,Mojave
557,558,Agelaius tricolor,Aves,Passeriformes,2015,5,12,-117.92408,34.82327,10,HUMAN_OBSERVATION,Mojave
559,560,Buteo swainsoni,Aves,Accipitriformes,2017,4,29,-118.06777,36.608414,1,HUMAN_OBSERVATION,Mojave
561,562,Empidonax traillii,Aves,Passeriformes,2016,9,9,-118.11818,34.79012,11,HUMAN_OBSERVATION,Mojave
568,569,Empidonax traillii,Aves,Passeriformes,2018,6,3,-116.27146,35.977867,1,HUMAN_OBSERVATION,Mojave
580,581,Buteo swainsoni,Aves,Accipitriformes,2007,4,22,-117.80901,35.63566,1,HUMAN_OBSERVATION,Mojave
593,594,Riparia riparia,Aves,Passeriformes,1994,5,31,-116.87235,36.4588,1,HUMAN_OBSERVATION,Mojave
600,601,Empidonax traillii,Aves,Passeriformes,2012,6,3,-117.758,35.219,20,HUMAN_OBSERVATION,Mojave
603,604,Riparia riparia,Aves,Passeriformes,2017,4,15,-118.1275,34.813572,1,HUMAN_OBSERVATION,Mojave
608,609,Empidonax traillii,Aves,Passeriformes,2019,9,8,-118.11818,34.79012,1,HUMAN_OBSERVATION,Mojave
616,617,Riparia riparia,Aves,Passeriformes,2018,8,31,-117.939354,36.360855,4,HUMAN_OBSERVATION,Mojave
639,640,Riparia riparia,Aves,Passeriformes,2016,9,7,-118.11818,34.79012,2,HUMAN_OBSERVATION,Mojave
