obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID
45,Gopherus agassizii,Reptilia,Testudines,2009,5,15,-115.451528,35.154436,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
1067,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,9,5,-116.493414,33.326946,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
3439,Puma concolor,Mammalia,Carnivora,2019,11,5,-116.47808,33.153343,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
3516,Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
3945,Ammospermophilus nelsoni,Mammalia,Rodentia,2021,5,24,-119.797113,35.113389,NA,HUMAN_OBSERVATION,WASH,2010,947.4305,1087
3954,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2006,12,30,-116.452502,33.312273,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
4077,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2018,6,29,-116.493487,33.356533,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
4755,Colaptes chrysoides,Aves,Piciformes,2010,7,16,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
4897,Haliaeetus leucocephalus,Aves,Accipitriformes,2011,5,29,-121.30736,37.44076,NA,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
5334,Colaptes chrysoides,Aves,Piciformes,2010,6,1,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
5500,Agelaius tricolor,Aves,Passeriformes,2010,4,22,-120.174,35.9561,2,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
6528,Agelaius tricolor,Aves,Passeriformes,2017,2,26,-116.534831,33.375444,NA,HUMAN_OBSERVATION,COYOTE,2003,18704.78,506
6677,Empidonax traillii,Aves,Passeriformes,2020,10,3,-116.56721,34.047775,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
6928,Colaptes chrysoides,Aves,Piciformes,2013,12,28,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
7181,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,3,4,-116.473421,33.261868,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
7213,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,18,-116.473271,33.303021,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
7213,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,2,18,-116.473271,33.303021,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
7365,Gopherus agassizii,Reptilia,Testudines,2015,5,27,-115.489642,35.004906,NA,HUMAN_OBSERVATION,BLAIR,2006,66.48067,673
7395,Buteo swainsoni,Aves,Accipitriformes,2021,5,21,-115.823739,33.499592,NA,HUMAN_OBSERVATION,DOS PALMAS,2008,456.4143,283
7476,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2017,9,25,-116.459088,33.331965,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
7700,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2020,3,9,-116.482208,33.22775,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
8859,Empidonax traillii,Aves,Passeriformes,2016,9,4,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
10878,Empidonax traillii,Aves,Passeriformes,1998,5,16,-115.33627,35.160686,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
11082,Uma inornata,Reptilia,Squamata,2004,4,23,-116.610386,33.83464,NA,HUMAN_OBSERVATION,TRAM,2013,59.22004,531
11521,Agelaius tricolor,Aves,Passeriformes,2020,1,4,-120.922588,36.70639,NA,HUMAN_OBSERVATION,BROWN,2008,3786.915,935
11580,Agelaius tricolor,Aves,Passeriformes,2019,1,18,-120.827993,36.53064,NA,HUMAN_OBSERVATION,NEW IDRIA,2003,632.0136,911
